order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-001141,5229744
FKSCLG,LOC-2-2603-001142,5241924
FKSCLG,LOC-2-2603-001143,3360000
FKSCLG,LOC-2-2603-001144,5230092
FKSCLG,LOC-2-2603-001145,5236008
FKSCLG,LOC-2-2603-001146,5229396
FKSCLG,LOC-2-2603-001147,5230440
FKSCLG,LOC-2-2603-001148,5230962
FKSCLG,LOC-2-2603-001149,5229918
FKSCLG,LOC-2-2603-001150,5229222
FKSCLG,LOC-2-2603-001151,5232702
FKSCLG,LOC-2-2603-001153,6104094
FKSCLG,LOC-2-2603-001154,6100266
FKSCLG,LOC-2-2603-001155,6105660
FKSCLG,LOC-2-2603-001156,6103572
FKSCLG,LOC-2-2603-001157,6103398
FKSCLG,LOC-2-2603-001158,2450000
FKSCLG,LOC-2-2603-001159,900000
FKSCLG,LOC-2-2603-001160,900000
FKSCLG,LOC-2-2603-001161,900000
FKSCLG,LOC-2-2603-001162,900000
FKSCLG,LOC-2-2603-001164,4144000
FKSCLG,LOC-2-2603-001165,3920000
FKSCLG,LOC-2-2603-001166,3920000
FKSCLG,LOC-2-2603-001167,4144000
FKSCLG,LOC-2-2603-001168,6452964
FKSCLG,LOC-2-2603-001169,6448092
FKSCLG,LOC-2-2603-001174,1400000
FKSCLG,LOC-2-2603-001177,6107400
FKSCLG,LOC-2-2603-001181,2634420
FKSCLG,LOC-2-2603-001182,2665960
FKSCLG,LOC-2-2603-001183,2585450
FKSCLG,LOC-2-2603-001184,2743400
FKSCLG,LOC-2-2603-001185,2698680
FKSCLG,LOC-2-2603-001186,2873376
FKSCLG,LOC-2-2603-001187,2676240
FKSCLG,LOC-2-2603-001188,2611046
FKSCLG,LOC-2-2603-001189,2752489.32
FKSCLG,LOC-2-2603-001190,4325120
FKSCLG,LOC-2-2603-001191,4334680
FKSCLG,LOC-2-2603-001192,4340160
FKSCLG,LOC-2-2603-001193,3740100
FKSCLG,LOC-2-2603-001194,4414140
FKSCLG,LOC-2-2603-001195,3578440
FKSCLG,LOC-2-2603-001196,3551040
FKSCLG,LOC-2-2603-001197,3822300
FKSCLG,LOC-2-2603-001198,4173020
FKSCLG,LOC-2-2603-001199,4247000
FKSCLG,LOC-2-2603-001200,4345640
FKSCLG,LOC-2-2603-001201,4156580
FKSCLG,LOC-2-2603-001202,4279880
FKSCLG,LOC-2-2603-001203,4096300
FKSCLG,LOC-2-2603-001204,4310020
FKSCLG,LOC-2-2603-001205,3893540
FKSCLG,LOC-2-2603-001206,3896280
FKSCLG,LOC-2-2603-001207,4142880
FKSCLG,LOC-2-2603-001208,4630600
FKSCLG,LOC-2-2603-001209,4077120
FKSCLG,LOC-2-2603-001210,4162060
FKSCLG,LOC-2-2603-001211,4030540
FKSCLG,LOC-2-2603-001212,4540180
FKSCLG,LOC-2-2603-001213,4605940
FKSCLG,LOC-2-2603-001214,4710060
FKSCLG,LOC-2-2603-001215,4756640
FKSCLG,LOC-2-2603-001216,4471680
FKSCLG,LOC-2-2603-001217,4488120
FKSCLG,LOC-2-2603-001218,4811440
FKSCLG,LOC-2-2603-001219,3570220
FKSCLG,LOC-2-2603-001220,4712800
FKSCLG,LOC-2-2603-001221,4803220
FKSCLG,LOC-2-2603-001223,4526480
FKSCLG,LOC-2-2603-001224,4995020
FKSCLG,LOC-2-2603-001225,4586760
FKSCLG,LOC-2-2603-001226,4647040
FKSCLG,LOC-2-2603-001227,4381260
FKSCLG,LOC-2-2603-001228,4329200
FKSCLG,LOC-2-2603-001229,3581180
FKSCLG,LOC-2-2603-001230,2808060
FKSCLG,LOC-2-2603-001231,3215040
FKSCLG,LOC-2-2603-001232,3159960
FKSCLG,LOC-2-2603-001233,3120180
FKSCLG,LOC-2-2603-001234,3233400
FKSCLG,LOC-2-2603-001235,3180360
FKSCLG,LOC-2-2603-001236,3132420
FKSCLG,LOC-2-2603-001237,3179340
FKSCLG,LOC-2-2603-001238,3121200
FKSCLG,LOC-2-2603-001239,3123240
